dim,total,iter,pi_est,count
2,10000,0,3.14520000,7863
2,10000,1,3.14880000,7872
2,10000,2,3.13560000,7839
2,10000,3,3.13640000,7841
2,10000,4,3.15720000,7893
2,10000,5,3.14600000,7865
2,10000,6,3.13200000,7830
2,10000,7,3.14240000,7856
2,10000,8,3.13960000,7849
2,10000,9,3.13160000,7829
2,10000,10,3.12000000,7800
2,10000,11,3.12920000,7823
2,10000,12,3.16400000,7910
2,10000,13,3.14760000,7869
2,10000,14,3.15480000,7887
2,10000,15,3.12640000,7816
2,10000,16,3.14920000,7873
2,10000,17,3.11800000,7795
2,10000,18,3.16920000,7923
2,10000,19,3.13480000,7837
2,10000,20,3.15560000,7889
2,10000,21,3.15440000,7886
2,10000,22,3.14960000,7874
2,10000,23,3.14400000,7860
2,10000,24,3.13120000,7828
2,10000,25,3.13440000,7836
2,10000,26,3.16120000,7903
2,10000,27,3.16160000,7904
2,10000,28,3.14280000,7857
2,10000,29,3.13160000,7829
2,10000,30,3.14440000,7861
2,10000,31,3.12560000,7814
2,10000,32,3.15880000,7897
2,10000,33,3.10920000,7773
2,10000,34,3.12640000,7816
2,10000,35,3.15720000,7893
2,10000,36,3.11400000,7785
2,10000,37,3.13880000,7847
2,10000,38,3.13080000,7827
2,10000,39,3.15160000,7879
2,10000,40,3.13240000,7831
2,10000,41,3.14600000,7865
2,10000,42,3.15760000,7894
2,10000,43,3.12400000,7810
2,10000,44,3.17160000,7929
2,10000,45,3.14280000,7857
2,10000,46,3.15480000,7887
2,10000,47,3.14040000,7851
2,10000,48,3.16320000,7908
2,10000,49,3.14880000,7872
2,10000,50,3.14720000,7868
2,10000,51,3.14760000,7869
2,10000,52,3.13800000,7845
2,10000,53,3.14760000,7869
2,10000,54,3.16600000,7915
2,10000,55,3.15000000,7875
2,10000,56,3.16160000,7904
2,10000,57,3.12800000,7820
2,10000,58,3.15720000,7893
2,10000,59,3.13120000,7828
2,10000,60,3.15120000,7878
2,10000,61,3.14680000,7867
2,10000,62,3.13760000,7844
2,10000,63,3.14840000,7871
2,10000,64,3.13160000,7829
2,10000,65,3.12920000,7823
2,10000,66,3.13080000,7827
2,10000,67,3.15080000,7877
2,10000,68,3.12360000,7809
2,10000,69,3.14040000,7851
2,10000,70,3.13600000,7840
2,10000,71,3.15480000,7887
2,10000,72,3.14680000,7867
2,10000,73,3.15800000,7895
2,10000,74,3.14760000,7869
2,10000,75,3.15360000,7884
2,10000,76,3.16720000,7918
2,10000,77,3.13000000,7825
2,10000,78,3.10680000,7767
2,10000,79,3.13320000,7833
2,10000,80,3.13480000,7837
2,10000,81,3.13920000,7848
2,10000,82,3.14440000,7861
2,10000,83,3.13680000,7842
2,10000,84,3.14520000,7863
2,10000,85,3.13920000,7848
2,10000,86,3.14360000,7859
2,10000,87,3.15480000,7887
2,10000,88,3.14800000,7870
2,10000,89,3.14200000,7855
2,10000,90,3.14760000,7869
2,10000,91,3.13720000,7843
2,10000,92,3.13280000,7832
2,10000,93,3.17480000,7937
2,10000,94,3.15720000,7893
2,10000,95,3.12960000,7824
2,10000,96,3.17680000,7942
2,10000,97,3.12960000,7824
2,10000,98,3.14200000,7855
2,10000,99,3.16120000,7903
2,10000,summary,3.14348400,0.01384685
2,50000,0,3.15016000,39377
2,50000,1,3.12752000,39094
2,50000,2,3.13304000,39163
2,50000,3,3.13456000,39182
2,50000,4,3.14200000,39275
2,50000,5,3.14672000,39334
2,50000,6,3.14136000,39267
2,50000,7,3.13816000,39227
2,50000,8,3.14176000,39272
2,50000,9,3.14384000,39298
2,50000,10,3.14160000,39270
2,50000,11,3.13856000,39232
2,50000,12,3.14592000,39324
2,50000,13,3.14472000,39309
2,50000,14,3.13968000,39246
2,50000,15,3.14632000,39329
2,50000,16,3.15104000,39388
2,50000,17,3.14016000,39252
2,50000,18,3.15048000,39381
2,50000,19,3.14176000,39272
2,50000,20,3.13960000,39245
2,50000,21,3.14096000,39262
2,50000,22,3.14224000,39278
2,50000,23,3.13688000,39211
2,50000,24,3.13352000,39169
2,50000,25,3.14608000,39326
2,50000,26,3.14184000,39273
2,50000,27,3.16016000,39502
2,50000,28,3.12840000,39105
2,50000,29,3.15128000,39391
2,50000,30,3.14272000,39284
2,50000,31,3.14248000,39281
2,50000,32,3.13576000,39197
2,50000,33,3.13488000,39186
2,50000,34,3.14368000,39296
2,50000,35,3.14216000,39277
2,50000,36,3.14696000,39337
2,50000,37,3.13568000,39196
2,50000,38,3.14400000,39300
2,50000,39,3.14976000,39372
2,50000,40,3.14400000,39300
2,50000,41,3.14096000,39262
2,50000,42,3.13552000,39194
2,50000,43,3.14344000,39293
2,50000,44,3.14008000,39251
2,50000,45,3.15024000,39378
2,50000,46,3.14008000,39251
2,50000,47,3.15144000,39393
